ID;Бренд;Кол-во тяжек;Вкус;Фото
1;SeaBear;11000;Клубника киви;https://cdn-icons-png.flaticon.com/512/4054/4054617.png
2;SeaBear;11000;Кислое яблоко;https://cdn-icons-png.flaticon.com/512/4054/4054617.png
3;SeaBear;11000;Ягодный микс;https://cdn-icons-png.flaticon.com/512/4054/4054617.png
4;SeaBear;11000;Трописеские фрукты;https://cdn-icons-png.flaticon.com/512/4054/4054617.png
5;SeaBear;11000;Манго персик;https://cdn-icons-png.flaticon.com/512/4054/4054617.png
6;SeaBear;11000;Вишня арбуз;https://cdn-icons-png.flaticon.com/512/4054/4054617.png
7;SeaBear;11000;Лимон лайм;https://cdn-icons-png.flaticon.com/512/4054/4054617.png
8;SeaBear;11000;Еживика гуава лед;https://cdn-icons-png.flaticon.com/512/4054/4054617.png
9;SeaBear;11000;Клюква виноград;https://cdn-icons-png.flaticon.com/512/4054/4054617.png
10;SeaBear;11000;Голубая малина;https://cdn-icons-png.flaticon.com/512/4054/4054617.png
11;Air Stick;7000;Mango;https://steamcrave.shop/cdn/shop/files/WhatsAppImage2023-12-21at18.58.00.jpg?v=1703214705
12;Air Stick;7000;Mint ice;https://steamcrave.shop/cdn/shop/files/WhatsAppImage2023-12-21at18.58.00.jpg?v=1703214706
13;Air Stick;7000;Pina colade;https://steamcrave.shop/cdn/shop/files/WhatsAppImage2023-12-21at18.58.00.jpg?v=1703214707
14;Air Stick;7000;Mix berry;https://steamcrave.shop/cdn/shop/files/WhatsAppImage2023-12-21at18.58.00.jpg?v=1703214708
15;Air Stick;7000;Watermelon ice;https://steamcrave.shop/cdn/shop/files/WhatsAppImage2023-12-21at18.58.00.jpg?v=1703214709
16;Air Stick;7000;Blue razz lemon;https://steamcrave.shop/cdn/shop/files/WhatsAppImage2023-12-21at18.58.00.jpg?v=1703214710
17;Air Stick;7000;Strawberry watermelon ice;https://steamcrave.shop/cdn/shop/files/WhatsAppImage2023-12-21at18.58.00.jpg?v=1703214711
18;Air Stick;7000;Grape ice;https://steamcrave.shop/cdn/shop/files/WhatsAppImage2023-12-21at18.58.00.jpg?v=1703214712
19;Air Stick;7000;Strawberry donat;https://steamcrave.shop/cdn/shop/files/WhatsAppImage2023-12-21at18.58.00.jpg?v=1703214713
20;Air Stick;7000;Vanilla-custer tobacco;https://steamcrave.shop/cdn/shop/files/WhatsAppImage2023-12-21at18.58.00.jpg?v=1703214714
21;EPE;10000;Bиноград лед;https://img4.dhresource.com/webp/m/0x0/f3/albu/km/s/25/8a4a7b56-8f71-438c-8419-57b015357d31.jpg
22;EPE;10000;Сочный персик;https://img4.dhresource.com/webp/m/0x0/f3/albu/km/s/25/8a4a7b56-8f71-438c-8419-57b015357d31.jpg
23;EPE;10000;Ананас лед;https://img4.dhresource.com/webp/m/0x0/f3/albu/km/s/25/8a4a7b56-8f71-438c-8419-57b015357d31.jpg
24;EPE;10000;Ментол;https://img4.dhresource.com/webp/m/0x0/f3/albu/km/s/25/8a4a7b56-8f71-438c-8419-57b015357d31.jpg
25;EPE;10000;Апельсиновая газировка;https://img4.dhresource.com/webp/m/0x0/f3/albu/km/s/25/8a4a7b56-8f71-438c-8419-57b015357d31.jpg
26;EPE;10000;Мармеладные мишки;https://img4.dhresource.com/webp/m/0x0/f3/albu/km/s/25/8a4a7b56-8f71-438c-8419-57b015357d31.jpg
27;EPE;10000;Арбуз лед;https://img4.dhresource.com/webp/m/0x0/f3/albu/km/s/25/8a4a7b56-8f71-438c-8419-57b015357d31.jpg
28;EPE;10000;Яблоко клубника персик лед;https://img4.dhresource.com/webp/m/0x0/f3/albu/km/s/25/8a4a7b56-8f71-438c-8419-57b015357d31.jpg
29;EPE;10000;Арбуз яблоко лед;https://img4.dhresource.com/webp/m/0x0/f3/albu/km/s/25/8a4a7b56-8f71-438c-8419-57b015357d31.jpg
30;EPE;10000;Клубничные вафли;https://img4.dhresource.com/webp/m/0x0/f3/albu/km/s/25/8a4a7b56-8f71-438c-8419-57b015357d31.jpg
31;EPE;10000;Сакура виноград;https://img4.dhresource.com/webp/m/0x0/f3/albu/km/s/25/8a4a7b56-8f71-438c-8419-57b015357d31.jpg
32;EPE;10000;Черника малина;https://img4.dhresource.com/webp/m/0x0/f3/albu/km/s/25/8a4a7b56-8f71-438c-8419-57b015357d31.jpg
33;EPE;10000;Клюквенный лимонад лед;https://img4.dhresource.com/webp/m/0x0/f3/albu/km/s/25/8a4a7b56-8f71-438c-8419-57b015357d31.jpg
34;EPE;10000;Кола лед;https://img4.dhresource.com/webp/m/0x0/f3/albu/km/s/25/8a4a7b56-8f71-438c-8419-57b015357d31.jpg
35;EPE;10000;Яблочный пирог;https://img4.dhresource.com/webp/m/0x0/f3/albu/km/s/25/8a4a7b56-8f71-438c-8419-57b015357d31.jpg
36;EPE;10000;Черника гранат лед;https://img4.dhresource.com/webp/m/0x0/f3/albu/km/s/25/8a4a7b56-8f71-438c-8419-57b015357d31.jpg
37;EPE;10000;Алоэ манго лед;https://img4.dhresource.com/webp/m/0x0/f3/albu/km/s/25/8a4a7b56-8f71-438c-8419-57b015357d31.jpg
38;EPE;10000;Банановые конфеты;https://img4.dhresource.com/webp/m/0x0/f3/albu/km/s/25/8a4a7b56-8f71-438c-8419-57b015357d31.jpg
39;EPE;10000;Ананас манго апельсин лед;https://img4.dhresource.com/webp/m/0x0/f3/albu/km/s/25/8a4a7b56-8f71-438c-8419-57b015357d31.jpg
40;EPE;10000;Клубничный чизкейк;https://img4.dhresource.com/webp/m/0x0/f3/albu/km/s/25/8a4a7b56-8f71-438c-8419-57b015357d31.jpg
41;EPE;15000;Кислое яблоко;https://www.allbarvape.com/uploads/37317/epe-ap1500092106.jpg
42;EPE;15000;Виноград лед;https://www.allbarvape.com/uploads/37317/epe-ap1500092106.jpg
43;EPE;15000;Bзрыв личи;https://www.allbarvape.com/uploads/37317/epe-ap1500092106.jpg
44;EPE;15000;Взрыв клубники;https://www.allbarvape.com/uploads/37317/epe-ap1500092106.jpg
45;EPE;15000;Малина арбуз;https://www.allbarvape.com/uploads/37317/epe-ap1500092106.jpg
46;EPE;15000;Питайя роя и персик;https://www.allbarvape.com/uploads/37317/epe-ap1500092106.jpg
47;EPE;15000;Ягодный микс;https://www.allbarvape.com/uploads/37317/epe-ap1500092106.jpg
48;EPE;15000;Черника лимон лед;https://www.allbarvape.com/uploads/37317/epe-ap1500092106.jpg
49;EPE;15000;Ананас кокосовое молоко лед;https://www.allbarvape.com/uploads/37317/epe-ap1500092106.jpg
50;EPE;15000;Мандарин дыня;https://www.allbarvape.com/uploads/37317/epe-ap1500092106.jpg
51;EPE;15000;Манго маракуйя;https://www.allbarvape.com/uploads/37317/epe-ap1500092106.jpg
52;EPE;15000;Вишня мята;https://www.allbarvape.com/uploads/37317/epe-ap1500092106.jpg
53;EPE;15000;Малина жасминовый чай;https://www.allbarvape.com/uploads/37317/epe-ap1500092106.jpg
54;EPE;15000;Крекер с морской солью;https://www.allbarvape.com/uploads/37317/epe-ap1500092106.jpg
55;EPE;15000;Вишневый лимонад;https://www.allbarvape.com/uploads/37317/epe-ap1500092106.jpg
56;EPE;15000;Кола лед;https://www.allbarvape.com/uploads/37317/epe-ap1500092106.jpg
57;EPE;15000;Свежая мята;https://www.allbarvape.com/uploads/37317/epe-ap1500092106.jpg
58;EPE;15000;Клуюника банан;https://www.allbarvape.com/uploads/37317/epe-ap1500092106.jpg
59;EPE;15000;Арбуз лед;https://www.allbarvape.com/uploads/37317/epe-ap1500092106.jpg
60;EPE;15000;Гранат лед;https://www.allbarvape.com/uploads/37317/epe-ap1500092106.jpg
